#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    1.36495e-01	    7.18571e-20	    1.36256e-02	    5.57443e-21	    1.24736e-22	   -4.78515e-24	    4.45749e-02	    2.91462e-20
    1.93899e-02	    0.00000e+00	    1.36198e-01	    3.45487e-19	    1.35791e-02	    1.80203e-20	    1.99577e-21	   -9.62144e-23	    4.43282e-02	    7.44777e-20
    3.23237e-02	    0.00000e+00	    1.35605e-01	    4.65771e-19	    1.34866e-02	    2.71858e-20	    1.33052e-21	   -5.97119e-22	    4.38380e-02	    1.73523e-19
    4.52683e-02	    0.00000e+00	    1.34722e-01	    6.79205e-19	    1.33488e-02	    4.79543e-20	    2.92714e-20	   -1.16121e-21	    4.31102e-02	    1.92057e-19
    5.82280e-02	    0.00000e+00	    1.33554e-01	    7.38849e-19	    1.31669e-02	    3.47454e-20	    4.25765e-20	   -2.78552e-21	    4.21544e-02	    2.55578e-19
    7.12073e-02	    0.00000e+00	    1.32109e-01	    5.41342e-19	    1.29425e-02	    5.01461e-20	    1.06441e-19	   -4.54895e-21	    4.09824e-02	    2.52972e-19
    8.42105e-02	    0.00000e+00	    1.30398e-01	    9.15507e-19	    1.26775e-02	    7.29754e-20	    2.20938e-13	   -7.15079e-21	    3.96086e-02	    3.57025e-19
    9.72420e-02	    0.00000e+00	    1.28433e-01	    1.25233e-18	    1.23741e-02	    7.43201e-20	    1.59662e-19	   -1.07856e-20	    3.80496e-02	    2.98264e-19
    1.10306e-01	    0.00000e+00	    1.26227e-01	    1.04959e-18	    1.20347e-02	    1.35972e-19	    1.49018e-19	   -1.44714e-20	    3.63240e-02	    6.12346e-19
    1.23408e-01	    0.00000e+00	    1.23793e-01	    1.40584e-18	    1.16621e-02	    7.49107e-20	   -5.44513e-12	   -2.95227e-20	    3.44517e-02	    4.46170e-19
    1.36552e-01	    0.00000e+00	    1.21149e-01	    1.46331e-18	    1.12594e-02	    8.72672e-20	    1.27730e-19	   -3.73444e-20	    3.24538e-02	    3.80439e-19
    1.49741e-01	    0.00000e+00	    1.18312e-01	    2.38181e-18	    1.08295e-02	    1.02284e-19	   -1.41464e-13	   -4.32723e-20	    3.03522e-02	    5.91606e-19
    1.62983e-01	    0.00000e+00	    1.15298e-01	    1.37456e-18	    1.03758e-02	    8.42438e-20	    2.76747e-19	   -5.72621e-20	    2.81692e-02	    5.41260e-19
    1.76280e-01	    0.00000e+00	    1.12126e-01	    1.53685e-18	    9.90164e-03	    1.16430e-19	    2.12883e-19	   -6.65482e-20	    2.59269e-02	    5.55509e-19
    1.89637e-01	    0.00000e+00	    1.08814e-01	    1.30584e-18	    9.41040e-03	    1.03285e-19	    2.12883e-19	   -6.78137e-20	    2.36472e-02	    4.49033e-19
    2.03061e-01	    0.00000e+00	    1.05382e-01	    1.80500e-18	    8.90550e-03	    5.66786e-20	    6.38648e-19	   -8.80857e-20	    2.13513e-02	    5.25567e-19
    2.16555e-01	    0.00000e+00	    1.01848e-01	    2.36069e-18	    8.39037e-03	    3.15363e-20	    3.83189e-19	   -1.11842e-19	    1.90596e-02	    3.56676e-19
    2.30125e-01	    0.00000e+00	    9.82305e-02	    2.08360e-18	    7.86835e-03	    6.56583e-20	    8.51530e-20	   -8.80804e-20	    1.67911e-02	    2.15631e-19
    2.43776e-01	    0.00000e+00	    9.45481e-02	    2.39148e-18	    7.34269e-03	    3.69599e-20	    8.94107e-19	   -1.23163e-19	    1.45635e-02	    3.96944e-19
    2.57513e-01	    0.00000e+00	    9.08186e-02	    1.61983e-18	    6.81657e-03	   -8.41876e-21	    4.25765e-20	   -1.47619e-19	    1.23932e-02	    3.56403e-19
    2.71342e-01	    0.00000e+00	    8.70591e-02	    1.84053e-18	    6.29299e-03	    3.00366e-21	    3.40612e-19	   -1.45341e-19	    1.02946e-02	    2.54898e-19
    2.85268e-01	    0.00000e+00	    8.32863e-02	    1.96155e-18	    5.77480e-03	   -1.42316e-20	    1.70306e-19	   -2.19344e-19	    8.28063e-03	    1.65485e-19
    2.99297e-01	    0.00000e+00	    7.95158e-02	    1.72089e-18	    5.26469e-03	   -4.77573e-21	    1.70306e-19	   -2.04247e-19	    6.36233e-03	    1.65411e-19
    3.13435e-01	    0.00000e+00	    7.57626e-02	    1.31395e-18	    4.76514e-03	   -5.68787e-20	    5.96071e-19	   -2.98383e-19	    4.54903e-03	    1.94575e-19
    3.27689e-01	    0.00000e+00	    7.20406e-02	    1.73021e-18	    4.27844e-03	    2.81171e-20	    5.96071e-19	   -1.47939e-19	    2.84823e-03	    8.80953e-20
    3.42063e-01	    0.00000e+00	    6.83627e-02	    1.63858e-18	    3.80665e-03	   -1.16716e-19	    8.51530e-19	   -2.54979e-19	    1.26577e-03	    9.92279e-20
    3.56565e-01	    0.00000e+00	    6.47408e-02	    1.45869e-18	    3.35162e-03	   -2.77414e-20	    1.70306e-19	   -2.34791e-19	   -1.94165e-04	    2.49723e-20
    3.71202e-01	    0.00000e+00	    6.11859e-02	    1.39162e-18	    2.91499e-03	   -1.04058e-19	    8.51530e-19	   -2.85852e-19	   -1.52898e-03	   -1.75209e-20
    3.85979e-01	    0.00000e+00	    5.77077e-02	    1.68724e-18	    2.49815e-03	   -1.29218e-19	    3.40612e-19	   -3.48469e-19	   -2.73749e-03	   -2.13898e-20
