#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    2.36653e-01	    1.37025e-19	    2.44911e-02	    2.92479e-21	   -8.94382e-13	   -5.61660e-21	    1.16516e-01	    6.21378e-20
    1.93899e-02	    0.00000e+00	    2.36053e-01	    3.62106e-19	    2.43850e-02	    1.52007e-20	   -8.41944e-12	   -1.82450e-20	    1.15980e-01	    1.20716e-19
    3.23237e-02	    0.00000e+00	    2.34858e-01	    5.55816e-19	    2.41742e-02	    2.73096e-20	    7.98310e-21	   -3.35850e-20	    1.14914e-01	    2.93603e-19
    4.52683e-02	    0.00000e+00	    2.33079e-01	    7.94224e-19	    2.38614e-02	    3.11775e-20	    6.38648e-20	   -3.41249e-20	    1.13333e-01	    4.34324e-19
    5.82280e-02	    0.00000e+00	    2.30732e-01	    1.30374e-18	    2.34504e-02	    3.21467e-20	    6.38648e-20	   -4.87519e-20	    1.11259e-01	    4.51579e-19
    7.12073e-02	    0.00000e+00	    2.27838e-01	    1.18782e-18	    2.29466e-02	    3.31428e-20	    1.80950e-19	   -7.98455e-20	    1.08717e-01	    4.68352e-19
    8.42105e-02	    0.00000e+00	    2.24422e-01	    1.51919e-18	    2.23558e-02	    2.08090e-20	    2.34171e-19	   -1.09077e-19	    1.05740e-01	    6.63274e-19
    9.72420e-02	    0.00000e+00	    2.20513e-01	    1.43093e-18	    2.16851e-02	    3.21414e-20	    1.91630e-13	   -9.44008e-20	    1.02367e-01	    6.75470e-19
    1.10306e-01	    0.00000e+00	    2.16143e-01	    1.80942e-18	    2.09424e-02	    6.19539e-20	    3.83189e-19	   -1.24341e-19	    9.86369e-02	    6.12057e-19
    1.23408e-01	    0.00000e+00	    2.11349e-01	    1.81511e-18	    2.01359e-02	    4.86793e-20	   -1.93844e-12	   -9.58592e-20	    9.45953e-02	    7.60481e-19
    1.36552e-01	    0.00000e+00	    2.06169e-01	    1.61268e-18	    1.92744e-02	    3.43584e-20	    4.25765e-19	   -1.81582e-19	    9.02882e-02	    7.73216e-19
    1.49741e-01	    0.00000e+00	    2.00642e-01	    1.86381e-18	    1.83668e-02	    1.36045e-20	    2.55459e-19	   -1.73487e-19	    8.57626e-02	    5.82219e-19
    1.62983e-01	    0.00000e+00	    1.94809e-01	    1.82778e-18	    1.74221e-02	    6.57923e-20	    8.51530e-20	   -1.86260e-19	    8.10665e-02	    8.58412e-19
    1.76280e-01	    0.00000e+00	    1.88711e-01	    2.00371e-18	    1.64493e-02	    1.58766e-20	    5.10918e-19	   -2.07516e-19	    7.62467e-02	    7.85920e-19
    1.89637e-01	    0.00000e+00	    1.82389e-01	    2.31708e-18	    1.54569e-02	    2.55818e-20	    6.81224e-19	   -1.71246e-19	    7.13490e-02	    6.73579e-19
    2.03061e-01	    0.00000e+00	    1.75886e-01	    2.83536e-18	    1.44534e-02	   -2.17657e-20	    1.19214e-18	   -2.42207e-19	    6.64173e-02	    9.07691e-19
    2.16555e-01	    0.00000e+00	    1.69241e-01	    2.34110e-18	    1.34466e-02	   -1.25093e-20	    1.27730e-18	   -3.19674e-19	    6.14926e-02	    7.78723e-19
    2.30125e-01	    0.00000e+00	    1.62492e-01	    2.58314e-18	    1.24438e-02	    1.41590e-20	    7.66377e-19	   -2.50961e-19	    5.66132e-02	    8.50285e-19
    2.43776e-01	    0.00000e+00	    1.55677e-01	    1.60739e-18	    1.14517e-02	   -6.52024e-20	    6.81224e-19	   -3.09484e-19	    5.18143e-02	    8.93315e-19
    2.57513e-01	    0.00000e+00	    1.48831e-01	    2.61703e-18	    1.04766e-02	   -9.05884e-20	    7.66377e-19	   -2.73959e-19	    4.71268e-02	    4.37300e-19
    2.71342e-01	    0.00000e+00	    1.41988e-01	    1.79527e-18	    9.52369e-03	   -9.47340e-20	    9.36683e-19	   -2.92558e-19	    4.25786e-02	    5.26105e-19
    2.85268e-01	    0.00000e+00	    1.35178e-01	    1.99158e-18	    8.59789e-03	   -1.57762e-19	   -3.40612e-19	   -3.68530e-19	    3.81937e-02	    7.15412e-19
    2.99297e-01	    0.00000e+00	    1.28430e-01	    3.11011e-18	    7.70329e-03	   -1.18656e-19	    6.81224e-19	   -4.07439e-19	    3.39920e-02	    3.65062e-19
    3.13435e-01	    0.00000e+00	    1.21769e-01	    2.89679e-18	    6.84334e-03	   -1.66884e-19	   -3.40612e-19	   -4.16105e-19	    2.99901e-02	    4.19979e-19
    3.27689e-01	    0.00000e+00	    1.15220e-01	    2.18473e-18	    6.02098e-03	   -9.57260e-20	    8.51530e-19	   -4.20682e-19	    2.62010e-02	    4.12972e-19
    3.42063e-01	    0.00000e+00	    1.08802e-01	    2.46728e-18	    5.23841e-03	   -2.60606e-19	    1.53275e-18	   -4.17787e-19	    2.26343e-02	    3.31998e-19
    3.56565e-01	    0.00000e+00	    1.02535e-01	    2.11446e-18	    4.49740e-03	   -1.83598e-19	    1.70306e-18	   -3.88275e-19	    1.92967e-02	    3.20617e-19
    3.71202e-01	    0.00000e+00	    9.64349e-02	    1.93853e-18	    3.79924e-03	   -2.72543e-19	    2.38429e-18	   -5.49080e-19	    1.61918e-02	    1.83125e-19
    3.85979e-01	    0.00000e+00	    9.05151e-02	    2.38945e-18	    3.14468e-03	   -2.52473e-19	    3.40612e-19	   -5.52288e-19	    1.33209e-02	    2.14912e-19
    4.00905e-01	    0.00000e+00	    8.47873e-02	    2.14453e-18	    2.53418e-03	   -2.78662e-19	    1.02184e-18	   -5.20510e-19	    1.06827e-02	    6.09494e-20
    4.15987e-01	    0.00000e+00	    7.92611e-02	    1.73979e-18	    1.96775e-03	   -3.09750e-19	    1.70306e-18	   -5.58243e-19	    8.27417e-03	    7.56712e-20
    4.31231e-01	    0.00000e+00	    7.39442e-02	    1.45802e-18	    1.44509e-03	   -3.30854e-19	    1.70306e-18	   -6.38454e-19	    6.09021e-03	    2.71559e-21
    4.46646e-01	    0.00000e+00	    6.88423e-02	    1.91642e-18	    9.65672e-04	   -2.51487e-19	    2.21398e-18	   -6.44681e-19	    4.12434e-03	   -4.05023e-20
    4.62241e-01	    0.00000e+00	    6.39593e-02	    1.65384e-18	    5.28672e-04	   -2.59280e-19	    1.70306e-19	   -5.23954e-19	    2.36880e-03	   -7.80178e-20
    4.78022e-01	    0.00000e+00	    5.92980e-02	    1.66037e-18	    1.33067e-04	   -2.98856e-19	    1.53275e-18	   -4.87384e-19	    8.14690e-04	   -1.21818e-19
    4.94000e-01	    0.00000e+00	    5.48595e-02	    1.87285e-18	   -2.22339e-04	   -2.76833e-19	    1.53275e-18	   -5.92530e-19	   -5.47708e-04	   -1.31004e-19
    5.10184e-01	    0.00000e+00	    5.06434e-02	    1.29593e-18	   -5.38897e-04	   -3.66339e-19	    1.87337e-18	   -4.82926e-19	   -1.72878e-03	   -1.34800e-19
    5.26582e-01	    0.00000e+00	    4.66486e-02	    1.77139e-18	   -8.18099e-04	   -2.70926e-19	    1.70306e-19	   -4.69766e-19	   -2.73938e-03	   -1.81601e-19
    5.43205e-01	    0.00000e+00	    4.28727e-02	    1.78683e-18	   -1.06154e-03	   -2.99856e-19	    5.10918e-19	   -4.40909e-19	   -3.59069e-03	   -1.65607e-19
    5.60063e-01	    0.00000e+00	    3.93122e-02	    1.17514e-18	   -1.27092e-03	   -2.82254e-19	    8.51530e-19	   -4.99096e-19	   -4.29412e-03	   -2.10405e-19
    5.77167e-01	    0.00000e+00	    3.59631e-02	    1.05499e-18	   -1.44799e-03	   -3.42834e-19	    1.02184e-18	   -4.63251e-19	   -4.86112e-03	   -2.14963e-19
    5.94528e-01	    0.00000e+00	    3.28206e-02	    1.47278e-18	   -1.59458e-03	   -2.44385e-19	    4.25765e-19	   -5.43530e-19	   -5.30306e-03	   -3.50993e-19
    6.12158e-01	    0.00000e+00	    2.98792e-02	    8.24850e-19	   -1.71255e-03	   -2.96810e-19	    1.61791e-18	   -5.51768e-19	   -5.63121e-03	   -2.54741e-19
    6.30069e-01	    0.00000e+00	    2.71328e-02	    9.10550e-19	   -1.80379e-03	   -4.55253e-19	    1.02184e-18	   -5.73242e-19	   -5.85659e-03	   -2.75774e-19
    6.48274e-01	    0.00000e+00	    2.45750e-02	    9.13465e-19	   -1.87023e-03	   -3.19436e-19	    9.36683e-19	   -4.74778e-19	   -5.98991e-03	   -2.83089e-19
    6.66787e-01	    0.00000e+00	    2.21990e-02	    5.38293e-19	   -1.91379e-03	   -2.84334e-19	    1.19214e-18	   -5.05519e-19	   -6.04153e-03	   -2.36523e-19
    6.85622e-01	    0.00000e+00	    1.99975e-02	    9.93040e-19	   -1.93638e-03	   -3.13177e-19	    5.96071e-19	   -5.33735e-19	   -6.02137e-03	   -3.04578e-19
    7.04794e-01	    0.00000e+00	    1.79632e-02	    5.75188e-19	   -1.93993e-03	   -1.90535e-19	    1.19214e-18	   -2.94925e-19	   -5.93888e-03	   -2.55626e-19
    7.24318e-01	    0.00000e+00	    1.60885e-02	    4.81317e-19	   -1.92631e-03	   -2.83661e-19	    9.36683e-19	   -3.86885e-19	   -5.80306e-03	   -2.20914e-19
    7.44211e-01	    0.00000e+00	    1.43658e-02	    5.52494e-19	   -1.89739e-03	   -2.58420e-19	    3.40612e-19	   -3.11269e-19	   -5.62236e-03	   -2.98445e-19
    7.64491e-01	    0.00000e+00	    1.27872e-02	    3.85817e-19	   -1.85497e-03	   -2.84589e-19	    5.96071e-19	   -3.98099e-19	   -5.40465e-03	   -2.51348e-19
    7.85175e-01	    0.00000e+00	    1.13450e-02	    4.43319e-19	   -1.80083e-03	   -1.96961e-19	    7.66377e-19	   -3.03551e-19	   -5.15728e-03	   -3.14679e-19
    8.06284e-01	    0.00000e+00	    1.00315e-02	    3.94042e-19	   -1.73668e-03	   -2.61239e-19	    1.02184e-18	   -2.89590e-19	   -4.88702e-03	   -1.64634e-19
    8.27837e-01	    0.00000e+00	    8.83885e-03	    2.99557e-19	   -1.66417e-03	   -1.82977e-19	    6.81224e-19	   -2.84713e-19	   -4.60006e-03	   -1.57279e-19
