#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    3.11349e-02	    1.32740e-20	    5.73497e-03	    1.59966e-21	    3.10608e-14	   -5.55348e-25	    2.09145e-02	    6.74754e-21
    1.93899e-02	    0.00000e+00	    3.11021e-02	    2.38416e-20	    5.72459e-03	    4.24948e-21	    1.66315e-22	   -1.29508e-23	    2.08760e-02	    2.99276e-20
    3.23237e-02	    0.00000e+00	    3.10365e-02	    4.71301e-20	    5.70387e-03	    8.45472e-21	   -6.65258e-22	   -6.18400e-23	    2.07992e-02	    3.66763e-20
    4.52683e-02	    0.00000e+00	    3.09383e-02	    5.45318e-20	    5.67288e-03	    7.71485e-21	    3.99155e-21	   -1.11637e-22	    2.06844e-02	    5.47374e-20
    5.82280e-02	    0.00000e+00	    3.08078e-02	    1.09253e-19	    5.63171e-03	    1.53067e-20	    6.65258e-21	   -3.76273e-22	    2.05320e-02	    8.49980e-20
    7.12073e-02	    0.00000e+00	    3.06452e-02	    9.90506e-20	    5.58052e-03	    1.90902e-20	    9.31361e-21	   -7.04602e-22	    2.03427e-02	    7.59833e-20
    8.42105e-02	    0.00000e+00	    3.04509e-02	    1.20976e-19	    5.51948e-03	    1.80577e-20	    1.47708e-12	   -1.21327e-21	    2.01171e-02	    9.64877e-20
    9.72420e-02	    0.00000e+00	    3.02254e-02	    2.04359e-19	    5.44879e-03	    2.59040e-20	    2.66103e-20	   -1.34753e-21	    1.98563e-02	    8.33529e-20
    1.10306e-01	    0.00000e+00	    2.99692e-02	    1.65532e-19	    5.36869e-03	    2.37160e-20	   -1.52210e-11	   -2.20012e-21	    1.95612e-02	    1.44156e-19
    1.23408e-01	    0.00000e+00	    2.96830e-02	    1.91085e-19	    5.27946e-03	    2.29835e-20	    3.72545e-20	   -3.38599e-21	    1.92329e-02	    1.35850e-19
    1.36552e-01	    0.00000e+00	    2.93673e-02	    2.36541e-19	    5.18141e-03	    2.84628e-20	    5.85427e-20	   -5.09096e-21	    1.88729e-02	    9.60336e-20
    1.49741e-01	    0.00000e+00	    2.90229e-02	    1.50648e-19	    5.07487e-03	    2.22135e-20	    1.29440e-12	   -6.00511e-21	    1.84825e-02	    1.72330e-19
    1.62983e-01	    0.00000e+00	    2.86507e-02	    2.65541e-19	    4.96018e-03	    2.19802e-20	    2.70356e-13	   -6.61426e-21	    1.80633e-02	    1.34838e-19
    1.76280e-01	    0.00000e+00	    2.82515e-02	    2.60759e-19	    4.83776e-03	    2.84912e-20	    9.57972e-20	   -9.55813e-21	    1.76168e-02	    1.48624e-19
    1.89637e-01	    0.00000e+00	    2.78262e-02	    2.93064e-19	    4.70802e-03	    3.34719e-20	    1.73684e-11	   -1.01646e-20	    1.71449e-02	    1.12581e-19
    2.03061e-01	    0.00000e+00	    2.73759e-02	    1.87167e-19	    4.57141e-03	    2.90617e-20	    6.70118e-13	   -1.51833e-20	    1.66493e-02	    1.61560e-19
    2.16555e-01	    0.00000e+00	    2.69015e-02	    2.56013e-19	    4.42838e-03	    2.88914e-20	    1.59662e-19	   -1.70986e-20	    1.61321e-02	    2.20730e-19
    2.30125e-01	    0.00000e+00	    2.64043e-02	    2.98656e-19	    4.27944e-03	    3.73105e-20	   -4.39049e-13	   -1.11596e-20	    1.55951e-02	    1.77201e-19
    2.43776e-01	    0.00000e+00	    2.58854e-02	    3.58465e-19	    4.12509e-03	    2.62637e-20	    1.91594e-19	   -2.35155e-20	    1.50405e-02	    2.19969e-19
    2.57513e-01	    0.00000e+00	    2.53459e-02	    3.24611e-19	    3.96584e-03	    3.14972e-20	   -1.51052e-13	   -2.54598e-20	    1.44704e-02	    2.27208e-19
    2.71342e-01	    0.00000e+00	    2.47872e-02	    2.93322e-19	    3.80226e-03	    3.95295e-20	   -6.24048e-12	   -2.66194e-20	    1.38869e-02	    2.15462e-19
    2.85268e-01	    0.00000e+00	    2.42106e-02	    3.84924e-19	    3.63489e-03	    2.62571e-20	    2.12883e-20	   -3.50488e-20	    1.32922e-02	    1.71549e-19
    2.99297e-01	    0.00000e+00	    2.36173e-02	    3.02685e-19	    3.46432e-03	    2.73480e-20	   -6.89808e-14	   -3.78777e-20	    1.26886e-02	    1.82984e-19
    3.13435e-01	    0.00000e+00	    2.30088e-02	    3.82871e-19	    3.29111e-03	    2.42255e-20	    2.76747e-19	   -3.86549e-20	    1.20783e-02	    2.23224e-19
    3.27689e-01	    0.00000e+00	    2.23865e-02	    4.09595e-19	    3.11586e-03	    3.39907e-20	    1.70306e-19	   -3.23497e-20	    1.14634e-02	    1.49958e-19
    3.42063e-01	    0.00000e+00	    2.17519e-02	    4.15699e-19	    2.93916e-03	    1.75586e-20	    1.91594e-19	   -4.68053e-20	    1.08463e-02	    1.98423e-19
    3.56565e-01	    0.00000e+00	    2.11063e-02	    4.69665e-19	    2.76162e-03	    5.77271e-21	    1.27730e-19	   -5.30483e-20	    1.02292e-02	    1.68621e-19
    3.71202e-01	    0.00000e+00	    2.04513e-02	    1.91306e-19	    2.58381e-03	   -1.44207e-20	    2.55459e-19	   -5.82160e-20	    9.61417e-03	    1.38276e-19
    3.85979e-01	    0.00000e+00	    1.97884e-02	    3.95881e-19	    2.40636e-03	    2.05369e-21	    1.70306e-19	   -6.62221e-20	    9.00339e-03	    1.73765e-19
    4.00905e-01	    0.00000e+00	    1.91191e-02	    3.43056e-19	    2.22983e-03	    4.17882e-22	    1.91594e-19	   -5.40700e-20	    8.39894e-03	    1.83771e-19
    4.15987e-01	    0.00000e+00	    1.84449e-02	    2.89455e-19	    2.05482e-03	   -9.18792e-21	   -6.12420e-13	   -7.39881e-20	    7.80283e-03	    1.51410e-19
    4.31231e-01	    0.00000e+00	    1.77673e-02	    3.57998e-19	    1.88191e-03	   -4.92626e-21	    0.00000e+00	   -7.35794e-20	    7.21701e-03	    1.17290e-19
    4.46646e-01	    0.00000e+00	    1.70879e-02	    3.78343e-19	    1.71165e-03	   -2.44444e-20	    2.98036e-19	   -9.09287e-20	    6.64333e-03	    1.21489e-19
    4.62241e-01	    0.00000e+00	    1.64081e-02	    3.41821e-19	    1.54459e-03	    2.43193e-21	   -4.25765e-20	   -7.17731e-20	    6.08355e-03	    1.26177e-19
    4.78022e-01	    0.00000e+00	    1.57294e-02	    2.02451e-19	    1.38126e-03	   -3.62252e-20	    2.98036e-19	   -8.61459e-20	    5.53933e-03	    1.06530e-19
    4.94000e-01	    0.00000e+00	    1.50533e-02	    3.19725e-19	    1.22216e-03	   -1.75240e-20	   -4.25765e-20	   -9.18805e-20	    5.01223e-03	    9.76205e-20
    5.10184e-01	    0.00000e+00	    1.43814e-02	    2.95014e-19	    1.06778e-03	   -3.13798e-20	    4.68342e-19	   -7.57417e-20	    4.50367e-03	    1.33163e-19
    5.26582e-01	    0.00000e+00	    1.37149e-02	    3.56189e-19	    9.18580e-04	   -2.75058e-20	    1.70306e-19	   -9.16958e-20	    4.01496e-03	    9.56131e-20
    5.43205e-01	    0.00000e+00	    1.30553e-02	    4.01591e-19	    7.74990e-04	   -3.43291e-20	   -6.78790e-13	   -9.37681e-20	    3.54728e-03	    9.60896e-20
    5.60063e-01	    0.00000e+00	    1.24040e-02	    3.64463e-19	    6.37408e-04	   -3.37844e-20	    2.98036e-19	   -9.65747e-20	    3.10165e-03	    8.91996e-20
    5.77167e-01	    0.00000e+00	    1.17622e-02	    3.16135e-19	    5.06200e-04	   -5.23792e-20	   -9.53377e-13	   -1.03282e-19	    2.67897e-03	    8.15781e-20
    5.94528e-01	    0.00000e+00	    1.11312e-02	    2.89847e-19	    3.81697e-04	   -4.82587e-20	    2.12883e-19	   -1.08503e-19	    2.27999e-03	    7.59729e-20
    6.12158e-01	    0.00000e+00	    1.05122e-02	    3.43408e-19	    2.64194e-04	   -5.03321e-20	    2.55459e-19	   -1.23513e-19	    1.90530e-03	    4.36541e-20
    6.30069e-01	    0.00000e+00	    9.90646e-03	    2.90458e-19	    1.53942e-04	   -9.60561e-20	    1.39792e-12	   -1.54585e-19	    1.55533e-03	    4.15146e-20
    6.48274e-01	    0.00000e+00	    9.31495e-03	    2.16476e-19	    5.11574e-05	   -8.37192e-20	    1.64589e-12	   -1.25985e-19	    1.23038e-03	    4.57936e-20
    6.66787e-01	    0.00000e+00	    8.73873e-03	    1.90683e-19	   -4.39924e-05	   -8.53494e-20	    2.98036e-19	   -1.49182e-19	    9.30595e-04	    2.35385e-20
    6.85622e-01	    0.00000e+00	    8.17874e-03	    2.60133e-19	   -1.31381e-04	   -6.18087e-20	    2.12883e-19	   -1.34936e-19	    6.55940e-04	    1.65803e-20
    7.04794e-01	    0.00000e+00	    7.63588e-03	    2.03044e-19	   -2.10926e-04	   -4.29248e-20	    9.02176e-14	   -1.10625e-19	    4.06263e-04	    1.01954e-20
    7.24318e-01	    0.00000e+00	    7.11093e-03	    2.16179e-19	   -2.82594e-04	   -8.54869e-20	    9.70268e-13	   -1.70908e-19	    1.81243e-04	    1.38090e-21
    7.44211e-01	    0.00000e+00	    6.60461e-03	    1.64721e-19	   -3.46397e-04	   -6.28126e-20	    2.55459e-19	   -1.18042e-19	   -1.95728e-05	    2.38291e-21
    7.64491e-01	    0.00000e+00	    6.11754e-03	    1.55382e-19	   -4.02390e-04	   -9.08835e-20	    2.55459e-19	   -1.53230e-19	   -1.96770e-04	   -8.93316e-22
    7.85175e-01	    0.00000e+00	    5.65029e-03	    2.12227e-19	   -4.50675e-04	   -6.83582e-20	    4.68342e-19	   -1.29444e-19	   -3.51070e-04	   -7.34407e-21
    8.06284e-01	    0.00000e+00	    5.20328e-03	    2.01757e-19	   -4.91409e-04	   -8.49068e-20	   -6.03652e-13	   -1.15066e-19	   -4.83311e-04	   -1.17500e-20
    8.27837e-01	    0.00000e+00	    4.77689e-03	    1.29756e-19	   -5.24781e-04	   -7.43676e-20	    6.38648e-19	   -1.21883e-19	   -5.94451e-04	   -1.68619e-20
    8.49856e-01	    0.00000e+00	    4.37140e-03	    1.72184e-19	   -5.51031e-04	   -9.10817e-20	    6.60153e-13	   -8.59569e-20	   -6.85541e-04	   -1.95199e-20
    8.72365e-01	    0.00000e+00	    3.98696e-03	    1.28171e-19	   -5.70438e-04	   -9.00901e-20	    9.82841e-13	   -1.03480e-19	   -7.57728e-04	   -3.12927e-20
    8.95387e-01	    0.00000e+00	    3.62365e-03	    1.04086e-19	   -5.83324e-04	   -8.76565e-20	    1.06441e-19	   -1.07465e-19	   -8.12240e-04	   -3.11963e-20
    9.18948e-01	    0.00000e+00	    3.28146e-03	    1.24121e-19	   -5.90044e-04	   -9.54679e-20	   -7.14213e-13	   -1.21316e-19	   -8.50368e-04	   -2.83296e-20
    9.43076e-01	    0.00000e+00	    2.96029e-03	    8.41426e-20	   -5.90987e-04	   -7.49502e-20	    8.89169e-13	   -9.31713e-20	   -8.73460e-04	   -2.55233e-20
    9.67799e-01	    0.00000e+00	    2.65992e-03	    1.06702e-19	   -5.86575e-04	   -7.08117e-20	   -1.67200e-11	   -9.78848e-20	   -8.82901e-04	   -3.07728e-20
    9.93148e-01	    0.00000e+00	    2.38008e-03	    8.94328e-20	   -5.77256e-04	   -6.55256e-20	   -1.35462e-12	   -1.15736e-19	   -8.80104e-04	   -3.58777e-20
    1.01916e+00	    0.00000e+00	    2.12039e-03	    7.91843e-20	   -5.63501e-04	   -7.46730e-20	   -1.20994e-12	   -9.19567e-20	   -8.66491e-04	   -2.59540e-20
    1.04586e+00	    0.00000e+00	    1.88040e-03	    7.10948e-20	   -5.45800e-04	   -7.09343e-20	    8.49702e-13	   -9.00828e-20	   -8.43482e-04	   -2.97167e-20
    1.07329e+00	    0.00000e+00	    1.65956e-03	    5.57168e-20	   -5.24650e-04	   -5.69489e-20	    1.49018e-19	   -7.06181e-20	   -8.12482e-04	   -2.34967e-20
