#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    1.54698e-01	    4.26618e-20	    3.13392e-02	    4.72145e-21	   -2.78021e-14	   -3.05209e-21	    1.47820e-01	    4.55584e-20
    1.93899e-02	    0.00000e+00	    1.54503e-01	    1.52789e-19	    3.12689e-02	    1.24596e-20	    7.31784e-21	   -8.49006e-21	    1.47554e-01	    9.42258e-20
    3.23237e-02	    0.00000e+00	    1.54114e-01	    2.43905e-19	    3.11287e-02	    2.58917e-20	    0.00000e+00	   -2.01443e-20	    1.47024e-01	    1.80764e-19
    4.52683e-02	    0.00000e+00	    1.53531e-01	    2.42051e-19	    3.09191e-02	    3.32263e-20	    6.47043e-12	   -1.85614e-20	    1.46232e-01	    2.78262e-19
    5.82280e-02	    0.00000e+00	    1.52758e-01	    3.48355e-19	    3.06412e-02	    4.60410e-20	    8.00561e-12	   -3.62332e-20	    1.45182e-01	    4.04969e-19
    7.12073e-02	    0.00000e+00	    1.51795e-01	    3.08635e-19	    3.02961e-02	    4.65948e-20	    9.82480e-14	   -3.24320e-20	    1.43877e-01	    3.92120e-19
    8.42105e-02	    0.00000e+00	    1.50647e-01	    6.05227e-19	    2.98856e-02	    5.63736e-20	    7.89425e-13	   -4.82658e-20	    1.42324e-01	    4.25664e-19
    9.72420e-02	    0.00000e+00	    1.49316e-01	    7.34479e-19	    2.94114e-02	    6.13446e-20	    2.76747e-19	   -5.31551e-20	    1.40529e-01	    6.25529e-19
    1.10306e-01	    0.00000e+00	    1.47806e-01	    7.55935e-19	    2.88757e-02	    6.77485e-20	    1.70306e-19	   -5.29319e-20	    1.38500e-01	    8.09380e-19
    1.23408e-01	    0.00000e+00	    1.46123e-01	    7.57910e-19	    2.82811e-02	    5.96880e-20	    1.91594e-19	   -8.75663e-20	    1.36246e-01	    5.47194e-19
    1.36552e-01	    0.00000e+00	    1.44272e-01	    6.91424e-19	    2.76300e-02	    6.23722e-20	    2.98036e-19	   -8.66278e-20	    1.33776e-01	    6.40808e-19
    1.49741e-01	    0.00000e+00	    1.42257e-01	    1.16235e-18	    2.69256e-02	    6.63989e-20	    8.51530e-20	   -1.11361e-19	    1.31102e-01	    7.43493e-19
    1.62983e-01	    0.00000e+00	    1.40085e-01	    8.33853e-19	    2.61709e-02	    5.57874e-20	    3.40612e-19	   -1.07377e-19	    1.28233e-01	    8.86064e-19
    1.76280e-01	    0.00000e+00	    1.37764e-01	    8.86649e-19	    2.53695e-02	    9.46455e-20	    6.38648e-19	   -1.30351e-19	    1.25183e-01	    6.90323e-19
    1.89637e-01	    0.00000e+00	    1.35299e-01	    1.31272e-18	    2.45248e-02	    6.11480e-20	    2.55459e-19	   -1.34531e-19	    1.21964e-01	    8.70476e-19
    2.03061e-01	    0.00000e+00	    1.32698e-01	    1.26699e-18	    2.36406e-02	    7.60793e-20	    8.51530e-19	   -1.86734e-19	    1.18590e-01	    8.37102e-19
    2.16555e-01	    0.00000e+00	    1.29968e-01	    1.38013e-18	    2.27208e-02	    8.96663e-20	    5.96071e-19	   -1.90395e-19	    1.15074e-01	    8.68529e-19
    2.30125e-01	    0.00000e+00	    1.27119e-01	    1.45233e-18	    2.17695e-02	    9.22381e-20	    1.02184e-18	   -1.39347e-19	    1.11431e-01	    9.09157e-19
    2.43776e-01	    0.00000e+00	    1.24158e-01	    1.65096e-18	    2.07909e-02	    1.97288e-20	    1.10699e-18	   -1.74711e-19	    1.07675e-01	    1.18943e-18
    2.57513e-01	    0.00000e+00	    1.21094e-01	    1.08183e-18	    1.97891e-02	    4.57192e-20	    1.27730e-18	   -1.58221e-19	    1.03822e-01	    7.84935e-19
    2.71342e-01	    0.00000e+00	    1.17937e-01	    1.48218e-18	    1.87685e-02	   -8.92947e-21	    1.70306e-19	   -3.12812e-19	    9.98862e-02	    1.01357e-18
