#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    1.41123e+00	    2.65817e-18	    6.78043e-02	    6.67305e-20	    4.12633e-14	   -1.96985e-22	   -1.84907e-02	    7.00942e-20
    1.93899e-02	    0.00000e+00	    1.39886e+00	    6.59986e-18	    6.71706e-02	    1.41597e-19	   -3.95427e-14	   -4.56518e-21	   -2.50644e-02	    1.24148e-19
    3.23237e-02	    0.00000e+00	    1.37483e+00	    8.52933e-18	    6.59355e-02	    4.30278e-19	    4.97998e-15	   -1.96951e-20	   -3.74146e-02	    5.37742e-19
    4.52683e-02	    0.00000e+00	    1.34040e+00	    8.09675e-18	    6.41593e-02	    3.14474e-19	    1.70306e-19	   -4.57999e-20	   -5.41415e-02	    4.25827e-19
    5.82280e-02	    0.00000e+00	    1.29723e+00	    1.36085e-17	    6.19207e-02	    6.29431e-19	    4.22997e-13	   -9.82115e-20	   -7.35532e-02	    6.95900e-19
    7.12073e-02	    0.00000e+00	    1.24717e+00	    2.75740e-17	    5.93077e-02	    3.46558e-19	    6.81224e-19	   -1.60244e-19	   -9.39743e-02	    1.60262e-19
    8.42105e-02	    0.00000e+00	    1.19208e+00	    2.08400e-17	    5.64087e-02	    7.83662e-19	    1.36245e-18	   -2.39510e-19	   -1.13976e-01	   -8.64536e-19
    9.72420e-02	    0.00000e+00	    1.13365e+00	    2.44054e-17	    5.33067e-02	    5.48496e-19	    2.21398e-18	   -3.05022e-19	   -1.32487e-01	   -1.74894e-18
    1.10306e-01	    0.00000e+00	    1.07338e+00	    2.91275e-17	    5.00749e-02	    2.99555e-19	    1.02184e-18	   -4.56403e-19	   -1.48810e-01	   -2.64434e-18
    1.23408e-01	    0.00000e+00	    1.01250e+00	    2.86784e-17	    4.67761e-02	    3.64464e-19	    5.10918e-19	   -6.91968e-19	   -1.62574e-01	   -3.42017e-18
    1.36552e-01	    0.00000e+00	    9.51983e-01	    3.49056e-17	    4.34620e-02	    1.35147e-19	    1.53275e-18	   -6.85664e-19	   -1.73661e-01	   -3.20599e-18
    1.49741e-01	    0.00000e+00	    8.92589e-01	    2.59259e-17	    4.01745e-02	    8.69528e-20	    3.40612e-18	   -8.71518e-19	   -1.82128e-01	   -4.39057e-18
    1.62983e-01	    0.00000e+00	    8.34871e-01	    2.99466e-17	    3.69465e-02	    2.20264e-19	    2.04367e-18	   -8.86174e-19	   -1.88144e-01	   -4.36317e-18
    1.76280e-01	    0.00000e+00	    7.79225e-01	    2.77858e-17	    3.38037e-02	    2.60300e-19	    1.70306e-18	   -1.04553e-18	   -1.91940e-01	   -5.33004e-18
    1.89637e-01	    0.00000e+00	    7.25912e-01	    3.35074e-17	    3.07657e-02	    1.30572e-19	    1.70306e-18	   -7.74597e-19	   -1.93770e-01	   -4.46758e-18
    2.03061e-01	    0.00000e+00	    6.75100e-01	    2.29913e-17	    2.78471e-02	   -2.25521e-19	    2.38429e-18	   -1.37960e-18	   -1.93896e-01	   -6.96249e-18
    2.16555e-01	    0.00000e+00	    6.26869e-01	    2.59190e-17	    2.50585e-02	   -3.47193e-19	    4.76857e-18	   -1.49263e-18	   -1.92563e-01	   -5.25844e-18
