#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    1.47628e-02	    5.67376e-21	    2.38731e-03	    6.28040e-22	    1.39878e-13	   -2.50670e-25	    1.19608e-02	    3.24586e-21
    1.93899e-02	    0.00000e+00	    1.47453e-02	    1.55365e-20	    2.38239e-03	    1.63992e-21	    3.74208e-22	   -4.96374e-24	    1.19380e-02	    1.35283e-20
    3.23237e-02	    0.00000e+00	    1.47103e-02	    2.16685e-20	    2.37256e-03	    4.49732e-21	    3.32629e-22	   -2.18620e-23	    1.18924e-02	    1.72216e-20
    4.52683e-02	    0.00000e+00	    1.46581e-02	    3.80079e-20	    2.35786e-03	    3.76610e-21	    1.99577e-21	   -6.28465e-23	    1.18241e-02	    3.34551e-20
    5.82280e-02	    0.00000e+00	    1.45886e-02	    3.75440e-20	    2.33836e-03	    6.83125e-21	    5.65469e-21	   -1.91330e-22	    1.17337e-02	    4.44680e-20
    7.12073e-02	    0.00000e+00	    1.45021e-02	    4.53430e-20	    2.31413e-03	    7.53714e-21	    5.32206e-21	   -2.43986e-22	    1.16214e-02	    4.68459e-20
    8.42105e-02	    0.00000e+00	    1.43989e-02	    7.00037e-20	    2.28526e-03	    7.00496e-21	    2.66103e-21	   -5.20093e-22	    1.14876e-02	    4.77757e-20
    9.72420e-02	    0.00000e+00	    1.42791e-02	    5.28685e-20	    2.25188e-03	    9.80769e-21	    2.12883e-20	   -7.07874e-22	    1.13331e-02	    4.86565e-20
    1.10306e-01	    0.00000e+00	    1.41432e-02	    8.81935e-20	    2.21411e-03	    1.07009e-20	    1.33052e-20	   -9.68689e-22	    1.11585e-02	    6.06632e-20
    1.23408e-01	    0.00000e+00	    1.39915e-02	    6.60421e-20	    2.17211e-03	    1.33542e-20	    7.98310e-21	   -1.44477e-21	    1.09644e-02	    7.99147e-20
    1.36552e-01	    0.00000e+00	    1.38244e-02	    7.79439e-20	    2.12604e-03	    1.25573e-20	    3.19324e-20	   -2.33472e-21	    1.07518e-02	    4.18897e-20
    1.49741e-01	    0.00000e+00	    1.36425e-02	    8.21696e-20	    2.07609e-03	    1.03061e-20	    2.12883e-20	   -2.42327e-21	    1.05216e-02	    8.94911e-20
    1.62983e-01	    0.00000e+00	    1.34461e-02	    1.27812e-19	    2.02244e-03	    1.11733e-20	    2.12883e-20	   -3.54617e-21	    1.02747e-02	    9.76013e-20
    1.76280e-01	    0.00000e+00	    1.32358e-02	    1.15865e-19	    1.96533e-03	    1.21364e-20	    3.72545e-20	   -3.86085e-21	    1.00122e-02	    6.36052e-20
    1.89637e-01	    0.00000e+00	    1.30122e-02	    1.25401e-19	    1.90498e-03	    1.30685e-20	    3.19324e-20	   -3.73787e-21	    9.73516e-03	    6.95052e-20
    2.03061e-01	    0.00000e+00	    1.27758e-02	    1.56780e-19	    1.84161e-03	    1.25310e-20	    5.32206e-20	   -5.92927e-21	    9.44482e-03	    7.01686e-20
    2.16555e-01	    0.00000e+00	    1.25275e-02	    1.60462e-19	    1.77549e-03	    1.15753e-20	    4.25765e-20	   -9.69390e-21	    9.14238e-03	    8.99225e-20
    2.30125e-01	    0.00000e+00	    1.22677e-02	    1.56971e-19	    1.70687e-03	    1.58435e-20	   -4.22438e-12	   -4.84840e-21	    8.82907e-03	    1.15115e-19
    2.43776e-01	    0.00000e+00	    1.19972e-02	    1.23805e-19	    1.63604e-03	    1.14266e-20	    2.01426e-12	   -1.03457e-20	    8.50618e-03	    1.07559e-19
    2.57513e-01	    0.00000e+00	    1.17167e-02	    1.71272e-19	    1.56325e-03	    6.93591e-21	   -2.59281e-12	   -1.09564e-20	    8.17504e-03	    9.36635e-20
    2.71342e-01	    0.00000e+00	    1.14271e-02	    1.67654e-19	    1.48879e-03	    7.13778e-21	    4.25765e-20	   -1.36480e-20	    7.83698e-03	    8.44844e-20
    2.85268e-01	    0.00000e+00	    1.11289e-02	    1.92490e-19	    1.41297e-03	    8.24534e-21	   -2.12883e-20	   -1.69997e-20	    7.49336e-03	    1.01103e-19
    2.99297e-01	    0.00000e+00	    1.08231e-02	    1.62010e-19	    1.33606e-03	    9.00528e-21	    1.06441e-20	   -1.32326e-20	    7.14553e-03	    9.35202e-20
    3.13435e-01	    0.00000e+00	    1.05105e-02	    1.33520e-19	    1.25838e-03	    4.16350e-21	    5.32206e-20	   -1.98721e-20	    6.79485e-03	    1.29654e-19
    3.27689e-01	    0.00000e+00	    1.01918e-02	    1.57175e-19	    1.18021e-03	    3.13418e-21	    8.51530e-20	   -1.56758e-20	    6.44269e-03	    1.27711e-19
    3.42063e-01	    0.00000e+00	    9.86796e-03	    9.51723e-20	    1.10185e-03	    3.39784e-21	    3.19324e-20	   -2.51744e-20	    6.09034e-03	    1.02614e-19
    3.56565e-01	    0.00000e+00	    9.53973e-03	    1.15814e-19	    1.02361e-03	    4.92733e-21	    7.45089e-20	   -1.97873e-20	    5.73916e-03	    9.89495e-20
    3.71202e-01	    0.00000e+00	    9.20798e-03	    1.46582e-19	    9.45763e-04	   -2.15577e-21	    1.49018e-19	   -3.23295e-20	    5.39039e-03	    1.00094e-19
    3.85979e-01	    0.00000e+00	    8.87356e-03	    1.43177e-19	    8.68613e-04	   -2.90819e-21	    6.38648e-20	   -3.27198e-20	    5.04528e-03	    6.70643e-20
    4.00905e-01	    0.00000e+00	    8.53733e-03	    1.66345e-19	    7.92432e-04	    1.52792e-21	    1.06441e-19	   -3.02233e-20	    4.70505e-03	    1.08766e-19
    4.15987e-01	    0.00000e+00	    8.20011e-03	    9.72638e-20	    7.17499e-04	   -7.43039e-21	    1.38374e-19	   -4.08330e-20	    4.37081e-03	    9.02052e-20
    4.31231e-01	    0.00000e+00	    7.86273e-03	    1.72664e-19	    6.44076e-04	   -4.01234e-21	   -4.25765e-20	   -4.17450e-20	    4.04368e-03	    6.24386e-20
