#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    2.10698e-01	    8.72514e-20	    2.42626e-02	    1.00453e-20	    4.15786e-22	   -8.17482e-24	    5.40197e-02	    4.68575e-20
    1.93899e-02	    0.00000e+00	    2.10287e-01	    2.41791e-19	    2.41902e-02	    2.71413e-20	    6.65258e-21	   -1.74575e-22	    5.37044e-02	    1.14569e-19
    3.23237e-02	    0.00000e+00	    2.09467e-01	    7.23097e-19	    2.40460e-02	    5.14863e-20	    0.00000e+00	   -7.11177e-22	    5.30780e-02	    2.23355e-19
    4.52683e-02	    0.00000e+00	    2.08245e-01	    9.22702e-19	    2.38311e-02	    9.83849e-20	    1.59662e-20	   -1.86768e-21	    5.21478e-02	    1.98373e-19
    5.82280e-02	    0.00000e+00	    2.06628e-01	    1.21417e-18	    2.35471e-02	    8.49208e-20	    7.98310e-20	   -4.50380e-21	    5.09252e-02	    3.61092e-19
    7.12073e-02	    0.00000e+00	    2.04627e-01	    1.26612e-18	    2.31962e-02	    1.39237e-19	    1.38374e-19	   -7.87666e-21	    4.94248e-02	    3.46805e-19
    8.42105e-02	    0.00000e+00	    2.02253e-01	    1.54341e-18	    2.27810e-02	    1.01158e-19	    9.13409e-13	   -1.40617e-20	    4.76642e-02	    4.76821e-19
    9.72420e-02	    0.00000e+00	    1.99522e-01	    1.65577e-18	    2.23046e-02	    1.50261e-19	    2.98036e-19	   -2.15759e-20	    4.56641e-02	    7.19742e-19
    1.10306e-01	    0.00000e+00	    1.96451e-01	    1.92662e-18	    2.17706e-02	    1.42576e-19	    3.19324e-19	   -1.88162e-20	    4.34471e-02	    5.96269e-19
    1.23408e-01	    0.00000e+00	    1.93059e-01	    2.03653e-18	    2.11827e-02	    1.43392e-19	    2.12883e-19	   -4.22812e-20	    4.10379e-02	    6.17067e-19
    1.36552e-01	    0.00000e+00	    1.89365e-01	    2.67324e-18	    2.05451e-02	    1.57646e-19	    4.68342e-19	   -5.89332e-20	    3.84627e-02	    5.89209e-19
    1.49741e-01	    0.00000e+00	    1.85391e-01	    2.36322e-18	    1.98623e-02	    2.03689e-19	    1.27730e-19	   -7.02725e-20	    3.57487e-02	    6.51838e-19
    1.62983e-01	    0.00000e+00	    1.81160e-01	    2.96658e-18	    1.91388e-02	    1.93192e-19	    3.83189e-19	   -7.66155e-20	    3.29236e-02	    5.70431e-19
    1.76280e-01	    0.00000e+00	    1.76695e-01	    3.41773e-18	    1.83796e-02	    1.71599e-19	    1.18293e-12	   -8.81432e-20	    3.00151e-02	    6.75918e-19
    1.89637e-01	    0.00000e+00	    1.72020e-01	    2.12057e-18	    1.75894e-02	    1.87625e-19	    4.68342e-19	   -1.04190e-19	    2.70508e-02	    5.57170e-19
