#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    5.74721e+00	    3.59453e-18	    2.04153e-01	   -3.22610e-19	   -1.59662e-20	   -4.95196e-19	    1.58680e+00	   -1.47156e-19
    1.93899e-02	    0.00000e+00	    5.70382e+00	    6.60984e-18	    2.06994e-01	   -9.83533e-19	   -1.53642e-12	   -5.81625e-19	    1.57733e+00	   -3.68748e-19
    3.23237e-02	    0.00000e+00	    5.61776e+00	    1.70339e-17	    2.11231e-01	   -1.46887e-18	   -1.70306e-19	   -1.45310e-18	    1.55515e+00	   -4.24209e-19
    4.52683e-02	    0.00000e+00	    5.49099e+00	    2.10367e-17	    2.14709e-01	   -1.24911e-18	   -5.10918e-19	   -2.33017e-18	    1.51588e+00	   -4.98498e-19
    5.82280e-02	    0.00000e+00	    5.32718e+00	    2.29463e-17	    2.15550e-01	   -1.22399e-18	   -2.98036e-19	   -2.56279e-18	    1.45674e+00	   -2.84201e-19
    7.12073e-02	    0.00000e+00	    5.13187e+00	    3.40663e-17	    2.12820e-01	   -2.00004e-18	   -1.64471e-20	   -2.31510e-18	    1.37833e+00	   -2.46983e-19
    8.42105e-02	    0.00000e+00	    4.91194e+00	    2.86638e-17	    2.06625e-01	   -2.31061e-18	    9.36683e-19	   -4.03433e-18	    1.28460e+00	    3.54824e-20
    9.72420e-02	    0.00000e+00	    4.67481e+00	    4.06505e-17	    1.97791e-01	   -2.75332e-18	    3.23582e-18	   -3.92756e-18	    1.18153e+00	   -9.38489e-19
    1.10306e-01	    0.00000e+00	    4.42753e+00	    4.19309e-17	    1.87404e-01	   -1.46410e-18	    3.06551e-18	   -4.39132e-18	    1.07540e+00	   -1.74103e-18
    1.23408e-01	    0.00000e+00	    4.17624e+00	    3.48531e-17	    1.76443e-01	   -2.98693e-18	    5.10918e-18	   -4.46802e-18	    9.71470e-01	   -2.54869e-18
    1.36552e-01	    0.00000e+00	    3.92585e+00	    6.20116e-17	    1.65594e-01	   -4.11744e-18	    8.17469e-18	   -6.07903e-18	    8.73305e-01	   -3.52998e-18
    1.49741e-01	    0.00000e+00	    3.68001e+00	    3.31761e-17	    1.55218e-01	   -4.83274e-18	    2.04367e-18	   -6.33667e-18	    7.82790e-01	   -4.22219e-18
    1.62983e-01	    0.00000e+00	    3.44128e+00	    5.78931e-17	    1.45415e-01	   -4.36972e-18	    2.72490e-18	   -1.02521e-17	    7.00458e-01	   -7.28091e-18
