#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    4.55959e-01	    1.93260e-19	    5.60222e-02	    7.63411e-21	    5.60292e-13	   -1.81843e-20	    2.05157e-01	    7.17383e-20
    1.93899e-02	    0.00000e+00	    4.54848e-01	    4.21747e-19	    5.57851e-02	    2.39399e-20	    3.98045e-12	   -4.94104e-20	    2.04233e-01	    2.16985e-19
    3.23237e-02	    0.00000e+00	    4.52636e-01	    6.75055e-19	    5.53138e-02	    3.52629e-20	    5.32206e-21	   -8.17085e-20	    2.02398e-01	    3.85140e-19
    4.52683e-02	    0.00000e+00	    4.49343e-01	    1.38898e-18	    5.46144e-02	    5.43888e-20	    2.58594e-13	   -6.14107e-20	    1.99675e-01	    4.83520e-19
    5.82280e-02	    0.00000e+00	    4.44998e-01	    1.79404e-18	    5.36960e-02	    4.62606e-20	    1.34115e-11	   -1.03168e-19	    1.96101e-01	    6.02324e-19
    7.12073e-02	    0.00000e+00	    4.39639e-01	    2.08588e-18	    5.25699e-02	    6.95513e-20	    8.51530e-20	   -1.92031e-19	    1.91723e-01	    4.48853e-19
    8.42105e-02	    0.00000e+00	    4.33312e-01	    3.39821e-18	    5.12501e-02	    9.50853e-20	    4.68342e-19	   -2.17526e-19	    1.86595e-01	    7.45345e-19
    9.72420e-02	    0.00000e+00	    4.26071e-01	    3.65228e-18	    4.97524e-02	    2.76169e-20	    7.23801e-19	   -2.89412e-19	    1.80782e-01	    1.29957e-18
    1.10306e-01	    0.00000e+00	    4.17975e-01	    2.65936e-18	    4.80946e-02	    7.14198e-20	    3.40612e-19	   -2.20488e-19	    1.74354e-01	    9.12251e-19
    1.23408e-01	    0.00000e+00	    4.09091e-01	    2.86262e-18	    4.62951e-02	    7.69410e-20	    3.40612e-19	   -3.84409e-19	    1.67387e-01	    1.10887e-18
    1.36552e-01	    0.00000e+00	    3.99487e-01	    3.39063e-18	    4.43738e-02	   -1.32989e-20	    6.81224e-19	   -3.07006e-19	    1.59960e-01	    1.49454e-18
    1.49741e-01	    0.00000e+00	    3.89235e-01	    3.09152e-18	    4.23508e-02	   -4.00035e-20	    1.70306e-19	   -4.96028e-19	    1.52154e-01	    1.21993e-18
    1.62983e-01	    0.00000e+00	    3.78412e-01	    4.89721e-18	    4.02464e-02	   -2.27513e-20	    8.51530e-19	   -4.26045e-19	    1.44051e-01	    1.14639e-18
    1.76280e-01	    0.00000e+00	    3.67091e-01	    5.11679e-18	    3.80804e-02	    6.02778e-20	    2.55459e-18	   -3.50007e-19	    1.35730e-01	    1.17165e-18
    1.89637e-01	    0.00000e+00	    3.55350e-01	    3.73515e-18	    3.58722e-02	   -3.84329e-20	    1.70306e-18	   -4.43658e-19	    1.27269e-01	    9.71248e-19
    2.03061e-01	    0.00000e+00	    3.43263e-01	    4.13910e-18	    3.36404e-02	   -6.46104e-20	    1.19214e-18	   -5.92332e-19	    1.18743e-01	    1.19148e-18
    2.16555e-01	    0.00000e+00	    3.30902e-01	    4.16979e-18	    3.14025e-02	   -1.11303e-19	    1.87337e-18	   -6.75420e-19	    1.10221e-01	    1.22363e-18
    2.30125e-01	    0.00000e+00	    3.18340e-01	    4.99397e-18	    2.91745e-02	   -4.87900e-20	    2.72490e-18	   -5.73111e-19	    1.01770e-01	    1.55104e-18
    2.43776e-01	    0.00000e+00	    3.05643e-01	    4.87363e-18	    2.69712e-02	   -9.00002e-20	    2.72490e-18	   -8.69026e-19	    9.34467e-02	    1.17641e-18
    2.57513e-01	    0.00000e+00	    2.92876e-01	    7.20724e-18	    2.48061e-02	   -1.89161e-19	    1.70306e-18	   -7.48526e-19	    8.53053e-02	    1.07852e-18
    2.71342e-01	    0.00000e+00	    2.80099e-01	    4.12424e-18	    2.26906e-02	   -2.77633e-19	    1.70306e-18	   -8.29581e-19	    7.73920e-02	    6.32914e-19
    2.85268e-01	    0.00000e+00	    2.67368e-01	    5.02096e-18	    2.06351e-02	   -3.94639e-19	    3.40612e-19	   -9.99761e-19	    6.97473e-02	    6.97651e-19
    2.99297e-01	    0.00000e+00	    2.54736e-01	    4.95465e-18	    1.86483e-02	   -4.20138e-19	    6.81224e-19	   -1.11126e-18	    6.24050e-02	    6.62318e-19
    3.13435e-01	    0.00000e+00	    2.42248e-01	    4.60401e-18	    1.67372e-02	   -3.88778e-19	    2.38429e-18	   -1.05000e-18	    5.53930e-02	    4.68142e-19
    3.27689e-01	    0.00000e+00	    2.29948e-01	    4.18012e-18	    1.49077e-02	   -2.92726e-19	    1.36245e-18	   -9.48331e-19	    4.87329e-02	    4.57276e-19
    3.42063e-01	    0.00000e+00	    2.17874e-01	    5.02410e-18	    1.31644e-02	   -6.01902e-19	    2.38429e-18	   -1.35280e-18	    4.24413e-02	    5.36863e-19
    3.56565e-01	    0.00000e+00	    2.06059e-01	    4.66299e-18	    1.15104e-02	   -3.76913e-19	    6.81224e-19	   -1.22259e-18	    3.65296e-02	    1.78687e-19
    3.71202e-01	    0.00000e+00	    1.94532e-01	    4.72202e-18	    9.94821e-03	   -6.05536e-19	    4.08735e-18	   -1.46708e-18	    3.10043e-02	    3.59212e-19
    3.85979e-01	    0.00000e+00	    1.83320e-01	    5.07989e-18	    8.47884e-03	   -5.91496e-19	    6.81224e-19	   -1.19184e-18	    2.58680e-02	    9.50147e-20
    4.00905e-01	    0.00000e+00	    1.72443e-01	    3.94706e-18	    7.10286e-03	   -7.44594e-19	    3.06551e-18	   -1.13458e-18	    2.11193e-02	    8.00703e-20
    4.15987e-01	    0.00000e+00	    1.61919e-01	    4.26627e-18	    5.81993e-03	   -7.17175e-19	    4.42796e-18	   -1.18716e-18	    1.67539e-02	   -6.74755e-20
    4.31231e-01	    0.00000e+00	    1.51763e-01	    4.13763e-18	    4.62912e-03	   -7.76440e-19	    1.70306e-18	   -1.39203e-18	    1.27642e-02	   -6.92462e-20
    4.46646e-01	    0.00000e+00	    1.41985e-01	    3.67899e-18	    3.52891e-03	   -8.95192e-19	    2.38429e-18	   -1.22940e-18	    9.14062e-03	   -1.50009e-19
    4.62241e-01	    0.00000e+00	    1.32593e-01	    3.03939e-18	    2.51735e-03	   -4.97511e-19	    1.70306e-18	   -1.15352e-18	    5.87131e-03	   -2.09658e-19
    4.78022e-01	    0.00000e+00	    1.23593e-01	    2.74682e-18	    1.59217e-03	   -7.48014e-19	    3.74673e-18	   -1.16158e-18	    2.94289e-03	   -2.62638e-19
    4.94000e-01	    0.00000e+00	    1.14987e-01	    2.40247e-18	    7.50738e-04	   -6.49397e-19	    1.36245e-18	   -1.21023e-18	    3.40563e-04	   -3.19149e-19
    5.10184e-01	    0.00000e+00	    1.06778e-01	    2.97474e-18	   -9.78887e-06	   -6.14234e-19	    3.06551e-18	   -1.15998e-18	   -1.95150e-03	   -4.08239e-19
    5.26582e-01	    0.00000e+00	    9.89624e-02	    3.51268e-18	   -6.92425e-04	   -7.24181e-19	    3.40612e-18	   -9.90427e-19	   -3.94979e-03	   -4.35729e-19
    5.43205e-01	    0.00000e+00	    9.15385e-02	    3.30400e-18	   -1.30039e-03	   -7.35275e-19	    6.81224e-19	   -1.36345e-18	   -5.67141e-03	   -4.27447e-19
    5.60063e-01	    0.00000e+00	    8.45012e-02	    2.74110e-18	   -1.83700e-03	   -7.88695e-19	    1.70306e-18	   -1.12815e-18	   -7.13376e-03	   -3.07165e-19
    5.77167e-01	    0.00000e+00	    7.78447e-02	    1.74438e-18	   -2.30559e-03	   -6.59600e-19	    1.36245e-18	   -7.66975e-19	   -8.35443e-03	   -4.55087e-19
    5.94528e-01	    0.00000e+00	    7.15616e-02	    2.37883e-18	   -2.70963e-03	   -6.61524e-19	    2.72490e-18	   -1.01578e-18	   -9.35094e-03	   -5.00887e-19
    6.12158e-01	    0.00000e+00	    6.56437e-02	    1.59073e-18	   -3.05261e-03	   -7.10401e-19	    1.36245e-18	   -7.01166e-19	   -1.01407e-02	   -5.99668e-19
    6.30069e-01	    0.00000e+00	    6.00817e-02	    1.17300e-18	   -3.33800e-03	   -8.97168e-19	    1.70306e-18	   -1.18952e-18	   -1.07409e-02	   -3.81178e-19
    6.48274e-01	    0.00000e+00	    5.48656e-02	    1.54579e-18	   -3.56930e-03	   -6.81766e-19	    3.40612e-19	   -1.22622e-18	   -1.11684e-02	   -6.06725e-19
    6.66787e-01	    0.00000e+00	    4.99846e-02	    2.01437e-18	   -3.75007e-03	   -7.35985e-19	    2.72490e-18	   -8.70582e-19	   -1.14395e-02	   -5.98019e-19
    6.85622e-01	    0.00000e+00	    4.54275e-02	    1.58429e-18	   -3.88375e-03	   -9.58899e-19	    1.19214e-18	   -9.58528e-19	   -1.15701e-02	   -5.60884e-19
    7.04794e-01	    0.00000e+00	    4.11824e-02	    1.38940e-18	   -3.97387e-03	   -3.99946e-19	    1.02184e-18	   -1.05124e-18	   -1.15754e-02	   -6.67354e-19
    7.24318e-01	    0.00000e+00	    3.72375e-02	    1.15189e-18	   -4.02384e-03	   -6.95727e-19	    2.21398e-18	   -1.00191e-18	   -1.14703e-02	   -4.66780e-19
    7.44211e-01	    0.00000e+00	    3.35802e-02	    1.19956e-18	   -4.03705e-03	   -4.44140e-19	    1.53275e-18	   -8.07459e-19	   -1.12687e-02	   -4.49334e-19
    7.64491e-01	    0.00000e+00	    3.01980e-02	    1.12324e-18	   -4.01691e-03	   -6.58083e-19	    5.10918e-19	   -8.35496e-19	   -1.09841e-02	   -4.74594e-19
