#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    2.94975e+00	    3.26011e-18	    1.00617e-01	   -6.73439e-20	   -2.47567e-15	   -6.06416e-20	    7.27490e-01	    6.30491e-20
    1.93899e-02	    0.00000e+00	    2.92619e+00	    7.84703e-18	    1.01052e-01	   -6.98449e-20	   -3.77226e-12	   -2.51998e-19	    7.19608e-01	    7.30768e-20
    3.23237e-02	    0.00000e+00	    2.87974e+00	    1.06236e-17	    1.01455e-01	   -1.96440e-19	    5.32206e-21	   -4.40791e-19	    7.02911e-01	    2.24091e-19
    4.52683e-02	    0.00000e+00	    2.81194e+00	    2.27308e-17	    1.01155e-01	   -1.19757e-19	    1.94039e-20	   -4.72346e-19	    6.76320e-01	    3.93468e-19
    5.82280e-02	    0.00000e+00	    2.72525e+00	    2.63491e-17	    9.96214e-02	   -8.70283e-20	    1.91594e-19	   -8.08027e-19	    6.39630e-01	    5.94008e-19
    7.12073e-02	    0.00000e+00	    2.62299e+00	    3.28676e-17	    9.66848e-02	   -1.34488e-19	    6.81224e-19	   -9.38703e-19	    5.94112e-01	    4.79651e-19
    8.42105e-02	    0.00000e+00	    2.50900e+00	    2.15059e-17	    9.25463e-02	   -2.64381e-19	    1.27730e-18	   -1.18787e-18	    5.42387e-01	   -1.64675e-19
    9.72420e-02	    0.00000e+00	    2.38714e+00	    2.86413e-17	    8.76313e-02	   -4.51920e-19	    2.55459e-18	   -1.50255e-18	    4.87754e-01	   -4.44149e-20
    1.10306e-01	    0.00000e+00	    2.26095e+00	    3.56441e-17	    8.24046e-02	   -4.85512e-19	    2.21398e-18	   -1.41650e-18	    4.33392e-01	   -1.84137e-18
    1.23408e-01	    0.00000e+00	    2.13335e+00	    3.01082e-17	    7.72350e-02	   -8.05822e-19	    1.02184e-18	   -2.61056e-18	    3.81771e-01	   -2.93795e-18
    1.36552e-01	    0.00000e+00	    2.00658e+00	    3.18735e-17	    7.23379e-02	   -1.20064e-18	    3.40612e-18	   -1.87989e-18	    3.34405e-01	   -3.06168e-18
    1.49741e-01	    0.00000e+00	    1.88226e+00	    3.63532e-17	    6.77846e-02	   -1.30347e-18	    1.02184e-18	   -2.58171e-18	    2.91918e-01	   -3.74133e-18
    1.62983e-01	    0.00000e+00	    1.76148e+00	    2.98254e-17	    6.35436e-02	   -1.62823e-18	    1.02184e-18	   -1.91918e-18	    2.54259e-01	   -4.01259e-18
