#     1:pT [GeV]	2:ur	3:Keq 1	4:Keq 2	5:Kshear 1	6:Kshear 2	7:Kshear 3	8:Kshear 4	9:Kbulk 1	10:Kbulk 2
    6.46257e-03	    0.00000e+00	    5.61048e-02	    1.40785e-20	    9.85104e-03	    1.03893e-21	    4.54198e-14	   -1.02295e-21	    6.13709e-02	    1.27723e-20
    1.93899e-02	    0.00000e+00	    5.60277e-02	    4.63012e-20	    9.82673e-03	    6.72920e-21	    1.66315e-21	   -2.51773e-21	    6.12543e-02	    4.14702e-20
    3.23237e-02	    0.00000e+00	    5.58739e-02	    6.42031e-20	    9.77823e-03	    6.93485e-21	    1.33052e-21	   -5.70595e-21	    6.10218e-02	    4.78728e-20
    4.52683e-02	    0.00000e+00	    5.56438e-02	    1.12237e-19	    9.70579e-03	    1.11523e-20	   -1.14582e-13	   -6.99972e-21	    6.06743e-02	    1.05957e-19
    5.82280e-02	    0.00000e+00	    5.53382e-02	    1.12970e-19	    9.60979e-03	    1.59539e-20	    3.99155e-20	   -8.84777e-21	    6.02135e-02	    1.89857e-19
    7.12073e-02	    0.00000e+00	    5.49583e-02	    1.49577e-19	    9.49070e-03	    1.87489e-20	    1.37963e-12	   -9.20736e-21	    5.96417e-02	    2.13666e-19
    8.42105e-02	    0.00000e+00	    5.45051e-02	    2.79225e-19	    9.34914e-03	    2.03548e-20	    4.10547e-12	   -1.57929e-20	    5.89614e-02	    2.03307e-19
    9.72420e-02	    0.00000e+00	    5.39805e-02	    1.82900e-19	    9.18581e-03	    1.87342e-20	   -1.32581e-11	   -1.57292e-20	    5.81758e-02	    2.25763e-19
    1.10306e-01	    0.00000e+00	    5.33859e-02	    2.55096e-19	    9.00156e-03	    2.14627e-20	    2.12475e-13	   -1.14042e-20	    5.72886e-02	    3.01913e-19
    1.23408e-01	    0.00000e+00	    5.27236e-02	    3.65765e-19	    8.79733e-03	    2.57424e-20	    4.74524e-12	   -2.04268e-20	    5.63039e-02	    3.91747e-19
    1.36552e-01	    0.00000e+00	    5.19957e-02	    2.62907e-19	    8.57411e-03	    2.42072e-20	    7.45089e-20	   -3.17960e-20	    5.52263e-02	    3.46834e-19
    1.49741e-01	    0.00000e+00	    5.12048e-02	    3.00638e-19	    8.33305e-03	    2.47737e-20	    2.79021e-13	   -2.70975e-20	    5.40606e-02	    3.87880e-19
